date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-06-02,6525,6575,6250,6275,13383300,BREN,-0.0346153846153846,-0.33773087071240115,662269,-3.46,-33.77
2025-06-03,6300,6350,6100,6200,10494200,BREN,-0.01195219123505975,-0.34564643799472305,654354,-1.2,-34.56
2025-06-04,6225,6250,6150,6150,6962600,BREN,-0.008064516129032251,-0.3509234828496043,649077,-0.81,-35.09
2025-06-05,6200,6550,6200,6350,21487100,BREN,0.03252032520325199,-0.32981530343007925,670185,3.25,-32.98
2025-06-10,6450,6900,6425,6725,46468500,BREN,0.059055118110236116,-0.29023746701846986,709763,5.91,-29.02
2025-06-11,6850,6900,6500,6575,30497100,BREN,-0.022304832713754608,-0.30606860158311366,693931,-2.23,-30.61
2025-06-12,6500,6650,6425,6450,18601700,BREN,-0.019011406844106515,-0.3192612137203169,680739,-1.9,-31.93
2025-06-13,6450,6475,6325,6375,20286500,BREN,-0.011627906976744207,-0.3271767810026388,672823,-1.16,-32.72
2025-06-16,6400,6450,6300,6325,13282300,BREN,-0.007843137254901933,-0.33245382585752004,667546,-0.78,-33.25
2025-06-17,6400,6500,6300,6400,16143200,BREN,0.011857707509881354,-0.32453825857519814,675462,1.19,-32.45
2025-06-18,6400,6400,6300,6300,9674300,BREN,-0.015625,-0.3350923482849607,664908,-1.56,-33.51
2025-06-19,6350,6350,6025,6125,19086900,BREN,-0.02777777777777779,-0.3535620052770452,646438,-2.78,-35.36
2025-06-20,6125,6175,6000,6050,18678500,BREN,-0.01224489795918371,-0.3614775725593671,638522,-1.22,-36.15
2025-06-23,5850,5925,5650,5800,14815400,BREN,-0.04132231404958675,-0.38786279683377334,612137,-4.13,-38.79
2025-06-24,5950,6050,5800,5850,14893700,BREN,0.008620689655172376,-0.3825857519788921,617414,0.86,-38.26
2025-06-25,5875,5975,5775,5775,8470800,BREN,-0.012820512820512775,-0.390501319261214,609499,-1.28,-39.05
2025-06-26,5775,5900,5750,5775,6855600,BREN,0.0,-0.390501319261214,609499,0.0,-39.05
2025-06-30,5875,5925,5775,5875,13487000,BREN,0.017316017316017396,-0.37994722955145144,620053,1.73,-37.99
2025-07-01,5900,6225,5850,5900,22084700,BREN,0.004255319148936065,-0.3773087071240109,622691,0.43,-37.73
2025-07-02,5925,6050,5700,5825,15638000,BREN,-0.012711864406779627,-0.3852242744063328,614776,-1.27,-38.52
2025-07-03,5850,5875,5725,5750,3185700,BREN,-0.012875536480686733,-0.3931398416886547,606860,-1.29,-39.31
2025-07-04,5800,5825,5650,5700,4715800,BREN,-0.008695652173912993,-0.3984168865435359,601583,-0.87,-39.84
2025-07-07,5775,5925,5700,5825,15984900,BREN,0.021929824561403466,-0.3852242744063328,614776,2.19,-38.52
2025-07-08,5850,6050,5775,6000,11718100,BREN,0.030042918454935563,-0.3667546174142484,633245,3.0,-36.68
2025-07-09,6050,6125,5925,5975,9563400,BREN,-0.004166666666666652,-0.3693931398416891,630607,-0.42,-36.94
2025-07-10,6000,6200,5975,6100,15585100,BREN,0.02092050209205021,-0.35620052770448596,643799,2.09,-35.62
2025-07-11,6150,6200,6050,6100,12951800,BREN,0.0,-0.35620052770448596,643799,0.0,-35.62
2025-07-14,7300,7300,6725,7300,150102200,BREN,0.19672131147540983,-0.22955145118733566,770449,19.67,-22.96
2025-07-15,7550,8500,7425,7750,121620600,BREN,0.06164383561643838,-0.18205804749340426,817942,6.16,-18.21
2025-07-16,7850,7875,7350,7700,55971100,BREN,-0.006451612903225823,-0.1873350923482855,812665,-0.65,-18.73
2025-07-17,7550,7950,7550,7725,38443100,BREN,0.0032467532467532756,-0.18469656992084482,815303,0.32,-18.47
2025-07-18,7800,8450,7725,8000,95900700,BREN,0.03559870550161803,-0.155672823218998,844327,3.56,-15.57
2025-07-21,8125,8175,7750,7900,45820100,BREN,-0.012499999999999956,-0.16622691292876046,833773,-1.25,-16.62
2025-07-22,8125,8375,7875,7875,70858500,BREN,-0.0031645569620253333,-0.16886543535620113,831135,-0.32,-16.89
